,CPI,BPP,NASDAQ
2/6/09,96.49385,97.06034,1591.71
2/7/09,96.49385,97.0729,#N/A
2/8/09,96.49385,97.0996,#N/A
2/9/09,96.49385,97.1116,1591.56
2/10/09,96.49385,97.11415,1524.73
2/11/09,96.49385,97.18593,1530.5
2/12/09,96.49385,97.2281,1541.71
2/13/09,96.49385,97.27321,1534.36
2/14/09,96.49385,97.29572,#N/A
2/15/09,96.49385,97.31374,#N/A
2/16/09,96.49385,97.29053,#N/A
2/17/09,96.49385,97.28534,1470.66
2/18/09,96.49385,97.32703,1467.97
2/19/09,96.49385,97.33775,1442.82
2/20/09,96.49385,97.31696,1441.23
2/21/09,96.49385,97.28463,#N/A
2/22/09,96.49385,97.24584,#N/A
2/23/09,96.49385,97.20739,1387.72
2/24/09,96.49385,97.16079,1441.83
2/25/09,96.49385,97.15398,1425.43
2/26/09,96.49385,97.12566,1391.47
2/27/09,96.49385,97.09085,1377.84
2/28/09,96.49385,97.08546,#N/A
3/1/09,96.97369,97.15695,#N/A
3/2/09,96.97369,97.20842,1322.85
3/3/09,96.97369,97.18717,1321.01
3/4/09,96.97369,97.24998,1353.74
3/5/09,96.97369,97.25901,1299.59
3/6/09,96.97369,97.27168,1293.85
3/7/09,96.97369,97.29161,#N/A
3/8/09,96.97369,97.31777,#N/A
3/9/09,96.97369,97.32438,1268.64
3/10/09,96.97369,97.29984,1358.28
3/11/09,96.97369,97.31622,1371.64
3/12/09,96.97369,97.32243,1426.1
3/13/09,96.97369,97.336,1431.5
3/14/09,96.97369,97.33927,#N/A
3/15/09,96.97369,97.34171,#N/A
3/16/09,96.97369,97.34733,1404.02
3/17/09,96.97369,97.35529,1462.11
3/18/09,96.97369,97.36027,1491.22
3/19/09,96.97369,97.37073,1483.48
3/20/09,96.97369,97.36975,1457.27
3/21/09,96.97369,97.38018,#N/A
3/22/09,96.97369,97.38514,#N/A
3/23/09,96.97369,97.39576,1555.77
3/24/09,96.97369,97.40976,1516.52
3/25/09,96.97369,97.46662,1528.95
3/26/09,96.97369,97.47298,1587
3/27/09,96.97369,97.4869,1545.2
3/28/09,96.97369,97.50134,#N/A
3/29/09,96.97369,97.5047,#N/A
3/30/09,96.97369,97.50431,1501.8
3/31/09,96.97369,97.51667,1528.59
4/1/09,97.20951,97.52552,1551.6
4/2/09,97.20951,97.52953,1602.63
4/3/09,97.20951,97.53561,1621.87
4/4/09,97.20951,97.53854,#N/A
4/5/09,97.20951,97.55051,#N/A
4/6/09,97.20951,97.52764,1606.71
4/7/09,97.20951,97.53959,1561.61
4/8/09,97.20951,97.55631,1590.66
4/9/09,97.20951,97.5625,1652.54
4/10/09,97.20951,97.55611,#N/A
4/11/09,97.20951,97.56838,#N/A
4/12/09,97.20951,97.56679,#N/A
4/13/09,97.20951,97.55483,1653.31
4/14/09,97.20951,97.56928,1625.72
4/15/09,97.20951,97.60265,1626.8
4/16/09,97.20951,97.61295,1670.44
4/17/09,97.20951,97.62369,1673.07
4/18/09,97.20951,97.62562,#N/A
4/19/09,97.20951,97.62293,#N/A
4/20/09,97.20951,97.64438,1608.21
4/21/09,97.20951,97.65669,1643.85
4/22/09,97.20951,97.66574,1646.12
4/23/09,97.20951,97.67059,1652.21
4/24/09,97.20951,97.67197,1694.29
4/25/09,97.20951,97.6737,#N/A
4/26/09,97.20951,97.68269,#N/A
4/27/09,97.20951,97.70628,1679.41
4/28/09,97.20951,97.71555,1673.81
4/29/09,97.20951,97.79012,1711.94
4/30/09,97.20951,97.80028,1717.3
5/1/09,97.45218,97.80325,1719.2
5/2/09,97.45218,97.80479,#N/A
5/3/09,97.45218,97.80288,#N/A
5/4/09,97.45218,97.80672,1763.56
5/5/09,97.45218,97.82098,1754.12
5/6/09,97.45218,97.91647,1759.1
5/7/09,97.45218,97.92038,1716.24
5/8/09,97.45218,97.92944,1739
5/9/09,97.45218,97.95306,#N/A
5/10/09,97.45218,97.94947,#N/A
5/11/09,97.45218,97.95775,1731.24
5/12/09,97.45218,97.97212,1715.92
5/13/09,97.45218,97.98637,1664.19
5/14/09,97.45218,97.99688,1689.21
5/15/09,97.45218,98.00606,1680.14
5/16/09,97.45218,98.01696,#N/A
5/17/09,97.45218,98.02304,#N/A
5/18/09,97.45218,98.0313,1732.36
5/19/09,97.45218,98.04474,1734.54
5/20/09,97.45218,98.0564,1727.84
5/21/09,97.45218,98.06415,1695.25
5/22/09,97.45218,98.00258,1692.01
5/23/09,97.45218,98.01041,#N/A
5/24/09,97.45218,98.018,#N/A
5/25/09,97.45218,98.02916,#N/A
5/26/09,97.45218,98.0301,1750.43
5/27/09,97.45218,98.10825,1731.08
5/28/09,97.45218,98.11825,1751.79
5/29/09,97.45218,98.13036,1774.33
5/30/09,97.45218,98.14077,#N/A
5/31/09,97.45218,98.13264,#N/A
6/1/09,97.7337,98.13887,1828.68
6/2/09,97.7337,98.14441,1836.8
6/3/09,97.7337,98.13206,1825.92
6/4/09,97.7337,98.1368,1850.02
6/5/09,97.7337,98.1384,1849.42
6/6/09,97.7337,98.15546,#N/A
6/7/09,97.7337,98.18155,#N/A
6/8/09,97.7337,98.19307,1842.4
6/9/09,97.7337,98.19559,1860.13
6/10/09,97.7337,98.28288,1853.08
6/11/09,97.7337,98.20412,1862.37
6/12/09,97.7337,98.22108,1858.8
6/13/09,97.7337,98.23223,#N/A
6/14/09,97.7337,98.22273,#N/A
6/15/09,97.7337,98.22086,1816.38
6/16/09,97.7337,98.23376,1796.18
6/17/09,97.7337,98.30093,1808.06
6/18/09,97.7337,98.31128,1807.72
6/19/09,97.7337,98.32239,1827.47
6/20/09,97.7337,98.32731,#N/A
6/21/09,97.7337,98.33864,#N/A
6/22/09,97.7337,98.35094,1766.19
6/23/09,97.7337,98.36204,1764.92
6/24/09,97.7337,98.36181,1792.34
6/25/09,97.7337,98.36408,1829.54
6/26/09,97.7337,98.36723,1838.22
6/27/09,97.7337,98.3751,#N/A
6/28/09,97.7337,98.37164,#N/A
6/29/09,97.7337,98.38213,1844.06
6/30/09,97.7337,98.39132,1835.04
7/1/09,98.57322,98.41266,1845.72
7/2/09,98.57322,98.41726,1796.52
7/3/09,98.57322,98.43351,#N/A
7/4/09,98.57322,98.44008,#N/A
7/5/09,98.57322,98.46091,#N/A
7/6/09,98.57322,98.43802,1787.4
7/7/09,98.57322,98.44822,1746.17
7/8/09,98.57322,98.5208,1747.17
7/9/09,98.57322,98.53126,1752.55
7/10/09,98.57322,98.56005,1756.03
7/11/09,98.57322,98.57541,#N/A
7/12/09,98.57322,98.55571,#N/A
7/13/09,98.57322,98.57565,1793.21
7/14/09,98.57322,98.5798,1799.73
7/15/09,98.57322,98.60647,1862.9
7/16/09,98.57322,98.61224,1885.03
7/17/09,98.57322,98.61584,1886.61
7/18/09,98.57322,98.62195,#N/A
7/19/09,98.57322,98.63557,#N/A
7/20/09,98.57322,98.63262,1909.29
7/21/09,98.57322,98.6466,1916.2
